datetime,aqi_us_lag1,aqi_us_lag12,aqi_us_lag24,scaled_humidity_%,scaled_temp_C_scaled_log_windspeed_kph,day_of_week,scaled_temp_C,scaled_temp_C_scaled_o3,aqi_us,scaled_log_pm2_5_lag1,scaled_log_pm2_5_lag12,scaled_log_pm2_5_lag24,scaled_log_pm10_lag1,scaled_log_pm10_lag12,scaled_log_pm10_lag24,scaled_log_no2,scaled_log_so2
2025-04-01 00:00:00,65.0,60.0,70.0,-0.124345136,1.113658969,1,-1.882173746,0.967644168,65,0.35588681,0.161544496,0.015116318,0.449081578,0.256009284,0.078070656,0.381042243,-0.724828273
2025-04-01 01:00:00,65.0,61.0,69.0,0.335625074,0.599597569,1,-1.882173746,1.617047287,65,-1.16877593,0.433235414,0.141878354,-0.430848866,0.352503399,0.037409553,1.22449039,-0.184709132
2025-04-01 02:00:00,65.0,61.0,68.0,0.461275473,4.291524686,1,-2.008179907,2.607149739,65,-0.756072452,0.626947109,0.212193773,-0.104795469,0.404455136,0.078070656,1.93238614,0.457576486
2025-04-01 03:00:00,65.0,61.0,66.0,0.56561018,4.702891683,1,-2.512204547,3.261507302,66,0.167285835,0.476959088,0.254524838,0.214083084,0.424238038,0.123726152,2.208709793,1.052047831
2025-04-01 04:00:00,66.0,62.0,65.0,0.556074212,7.145544056,1,-2.827219948,1.276143461,66,0.792710446,0.462593251,0.339682073,0.075602717,0.456180511,0.189265334,2.008959546,1.669728093
2025-04-01 05:00:00,66.0,85.0,64.0,1.074943047,8.697617145,1,-3.268241508,-2.727794967,67,0.32915096,0.495801947,0.448020705,0.402892445,0.560027169,0.258033431,1.45615217,2.236847613
2025-04-01 06:00:00,67.0,107.0,64.0,1.087283711,7.061749458,1,-3.772266149,-7.289731077,68,0.422022972,0.527956218,0.491123997,0.664965192,0.656290402,0.283692917,0.770634825,2.598717757
2025-04-01 07:00:00,68.0,119.0,63.0,1.08055244,22.70892085,1,-4.08728155,-10.97534412,68,0.765850441,0.518872978,0.377097522,0.943833133,0.699684833,0.247837586,0.211356695,2.750599748
2025-04-01 08:00:00,68.0,119.0,62.0,-0.139490497,3.64092908,1,-2.260192227,-7.345251069,69,1.040054438,0.527956218,0.260430246,1.089735778,0.722781712,0.231121777,-0.320101784,2.787394474
2025-04-01 09:00:00,69.0,106.0,62.0,-0.695381325,2.344033909,1,-1.252142945,-4.304907392,71,1.112637002,0.559120969,0.187185725,1.116175296,0.742437283,0.251938568,-0.609192948,2.703960211
2025-04-01 10:00:00,71.0,84.0,61.0,-1.90140078,-0.415178366,1,0.322934057,1.019094648,72,1.080606661,0.545881898,0.128552182,1.074682823,0.746619104,0.264061682,-0.405034587,2.448960219
2025-04-01 11:00:00,72.0,65.0,60.0,-2.107826436,-0.820176156,1,0.637949457,1.592988985,90,1.007190919,0.295157344,0.080479284,0.974377681,0.486373991,0.200591799,0.087491492,2.032160819
2025-04-01 12:00:00,90.0,65.0,61.0,-2.609867093,-0.504289443,1,1.582995659,2.959761273,116,0.897682224,0.35588681,0.161544496,0.875415506,0.449081578,0.256009284,0.629515779,1.709325145
2025-04-01 13:00:00,116.0,65.0,61.0,-2.775344181,-1.724318393,1,1.898011059,2.179484106,132,0.286880104,-1.16877593,0.433235414,0.321526491,-0.430848866,0.352503399,1.185719319,1.362121747
2025-04-01 14:00:00,132.0,65.0,61.0,-2.275547281,0.707004743,1,2.150023379,0.310851232,134,0.25475928,-0.756072452,0.626947109,0.114223101,-0.104795469,0.404455136,1.744452382,0.814118502
2025-04-01 15:00:00,134.0,66.0,62.0,-2.047805933,1.329802144,1,1.582995659,-1.111749146,122,0.211359007,0.167285835,0.476959088,-0.101461744,0.214083084,0.424238038,2.148437545,0.457576486
2025-04-01 16:00:00,122.0,66.0,85.0,-1.961982223,1.065172135,1,1.267980258,-1.566630966,99,0.054017359,0.792710446,0.462593251,-0.225747315,0.075602717,0.456180511,2.483389527,0.706051301
2025-04-01 17:00:00,99.0,67.0,107.0,-1.750508113,0.33408667,1,1.015967938,-1.605799168,76,0.019137625,0.32915096,0.495801947,-0.302627503,0.402892445,0.560027169,2.750931816,1.179961832
2025-04-01 18:00:00,76.0,68.0,119.0,-1.411700787,0.223590639,1,0.322934057,-0.561063013,77,0.37080244,0.422022972,0.527956218,-0.176340449,0.664965192,0.656290402,2.842941776,1.420455963
2025-04-01 19:00:00,77.0,68.0,119.0,-0.842908356,-0.204572769,1,-0.622112145,0.983286113,78,1.072542364,0.765850441,0.518872978,0.140460783,0.943833133,0.699684833,2.656029967,1.272429009
2025-04-01 20:00:00,78.0,69.0,106.0,-0.677431268,0.932986651,1,-0.874124465,1.080009288,79,0.756840409,1.040054438,0.527956218,-0.165935565,1.089735778,0.722781712,2.246548848,0.918415139
2025-04-01 21:00:00,79.0,71.0,84.0,-0.30889416,3.164678641,1,-1.252142945,1.272138645,80,0.286880104,1.112637002,0.559120969,-0.344313963,1.116175296,0.742437283,1.847675194,0.669143009
2025-04-01 22:00:00,80.0,72.0,65.0,-0.322356703,1.423743001,1,-1.567158346,1.641340394,81,0.111215721,1.080606661,0.545881898,-0.422799508,1.074682823,0.746619104,1.663699597,0.631773351
2025-04-01 23:00:00,81.0,90.0,65.0,0.113493119,1.874425188,1,-1.756167586,2.059633708,82,0.122518569,1.007190919,0.295157344,-0.38310872,0.974377681,0.486373991,1.624260671,0.706051301
2025-04-02 00:00:00,82.0,116.0,65.0,-0.322356703,2.933748352,2,-1.567158346,2.476989159,82,0.25475928,0.897682224,0.35588681,-0.26192833,0.875415506,0.449081578,1.969108748,1.035666783
