datetime,temp_C,humidity_%,windspeed_kph,precip_mm,pm10,pm2_5,co,no2,so2,o3,log_co,log_pm2_5,log_pm10,log_precip_mm,log_so2,log_windspeed_kph,log_no2,scaled_temp_C,scaled_humidity_%,scaled_log_windspeed_kph,scaled_log_pm2_5,scaled_log_pm10,scaled_log_precip_mm,scaled_log_co,scaled_log_no2,scaled_log_so2,scaled_o3,aqi_us,aqi_us_lag1,aqi_us_lag24,hour_sin,hour_cos,aqi_us_lag12,hour,day_of_week,is_weekend,log_pm2_5_scaled_log_windspeed_kph,scaled_temp_C_scaled_o3,scaled_temp_C_scaled_log_windspeed_kph,scaled_log_pm2_5_lag1,scaled_log_pm2_5_lag12,scaled_log_pm2_5_lag24,scaled_log_pm10_lag1,scaled_log_pm10_lag12,scaled_log_pm10_lag24
01/04/2025 00:00,25.0,61.15,11.2,0.0,41.6,15.0,307.0,14.1,9.1,61.0,5.730099783,2.772588722,3.751854253,0.0,2.312535424,2.501435952,2.714694744,-1.882173746,-0.124345136,-0.591687654,-1.16877593,-0.430848866,-0.109221172,0.158821414,0.381042243,-0.724828273,-0.514109906,65,65.0,70.0,0.0,1.0,60.0,0,1,0,-1.640506517,0.967644168,1.113658969,0.35588681,0.161544496,0.015116318,0.449081578,0.256009284,0.078070656
01/04/2025 01:00,25.0,69.35,13.0,0.0,50.5,17.5,672.0,24.4,11.1,50.0,6.51174533,2.917770732,3.941581808,0.0,2.493205453,2.63905733,3.234749174,-1.882173746,0.335625074,-0.318566535,-0.756072452,-0.104795469,-0.109221172,2.016394087,1.22449039,-0.184709132,-0.859138159,65,65.0,69.0,0.258819045,0.965925826,61.0,1,1,0,-0.929504113,1.617047287,0.599597569,-1.16877593,0.433235414,0.141878354,-0.430848866,0.352503399,0.037409553
01/04/2025 02:00,24.6,71.59,4.6,0.0,61.0,24.6,1156.0,38.3,14.0,36.0,7.053585727,3.242592351,4.127134385,0.0,2.708050201,1.722766598,3.671224519,-2.008179907,0.461275473,-2.137022023,0.167285835,0.214083084,-0.109221172,3.304072268,1.93238614,0.457576486,-1.298265026,65,65.0,68.0,0.5,0.866025404,61.0,2,1,0,-6.929491265,2.607149739,4.291524686,-0.756072452,0.626947109,0.212193773,-0.104795469,0.404455136,0.078070656
01/04/2025 03:00,23.0,73.45,5.4,0.0,56.2,30.9,1416.0,45.6,17.3,36.0,7.25629724,3.46260601,4.046553898,0.0,2.90690106,1.85629799,3.841600541,-2.512204547,0.56561018,-1.872017821,0.792710446,0.075602717,-0.109221172,3.785814111,2.208709793,1.052047831,-1.298265026,66,65.0,66.0,0.707106781,0.707106781,61.0,3,1,0,-6.482060158,3.261507302,4.702891683,0.167285835,0.476959088,0.254524838,0.214083084,0.424238038,0.123726152
01/04/2025 04:00,22.0,73.28,3.6,0.0,68.2,26.1,1234.0,40.2,21.5,63.0,7.118826249,3.299533728,4.237000863,0.0,3.113515309,1.526056303,3.718438256,-2.827219948,0.556074212,-2.527410031,0.32915096,0.402892445,-0.109221172,3.459115703,2.008959546,1.669728093,-0.451377496,66,66.0,65.0,0.866025404,0.5,62.0,4,1,0,-8.339274642,1.276143461,7.145544056,0.792710446,0.462593251,0.339682073,0.075602717,0.456180511,0.189265334
01/04/2025 05:00,20.6,82.53,3.3,0.0,79.6,27.0,828.0,28.3,26.2,104.0,6.720220155,3.33220451,4.38949865,0.0,3.303216973,1.458615023,3.377587516,-3.268241508,1.074943047,-2.661252886,0.422022972,0.664965192,-0.109221172,2.511832384,1.45615217,2.236847613,0.834636902,67,66.0,64.0,0.965925826,0.258819045,85.0,5,1,0,-8.867838868,-2.727794967,8.697617145,0.32915096,0.495801947,0.448020705,0.402892445,0.560027169,0.258033431
01/04/2025 06:00,19.0,82.75,5.4,0.0,93.8,30.6,502.0,18.2,29.7,139.0,6.22059017,3.453157121,4.551769409,0.0,3.424262655,1.85629799,2.954910279,-3.772266149,1.087283711,-1.872017821,0.765850441,0.943833133,-0.109221172,1.324466819,0.770634825,2.598717757,1.932454071,68,67.0,64.0,1.0,6.12e-17,107.0,6,1,0,-6.464371669,-7.289731077,7.061749458,0.422022972,0.527956218,0.491123997,0.664965192,0.656290402,0.283692917
01/04/2025 07:00,18.0,82.63,0.0,0.0,102.2,33.8,375.0,12.6,31.3,163.0,5.929589143,3.549617387,4.636668853,0.0,3.47506723,0.0,2.610069793,-4.08728155,1.08055244,-5.555996223,1.040054438,1.089735778,-0.109221172,0.632905845,0.211356695,2.750599748,2.685242987,68,68.0,63.0,0.965925826,-0.258819045,119.0,7,1,0,-19.7216608,-10.97534412,22.70892085,0.765850441,0.518872978,0.377097522,0.943833133,0.699684833,0.247837586
01/04/2025 08:00,23.8,60.88,6.3,0.0,103.8,34.7,329.0,8.8,31.7,181.0,5.799092654,3.575150689,4.652053772,0.0,3.487375078,1.987874348,2.282382386,-2.260192227,-0.139490497,-1.61089355,1.112637002,1.116175296,-0.109221172,0.32278227,-0.320101784,2.787394474,3.249834674,69,68.0,62.0,0.866025404,-0.5,119.0,8,1,0,-5.759187184,-7.345251069,3.64092908,1.040054438,0.527956218,0.260430246,1.089735778,0.722781712,0.231121777
01/04/2025 09:00,27.0,50.97,5.4,0.0,101.3,34.3,318.0,7.2,30.8,187.0,5.765191103,3.563882964,4.627909673,0.0,3.45946629,1.85629799,2.104134154,-1.252142945,-0.695381325,-1.872017821,1.080606661,1.074682823,-0.109221172,0.242215578,-0.609192948,2.703960211,3.438031903,71,69.0,62.0,0.707106781,-0.707106781,106.0,9,1,0,-6.671652421,-4.304907392,2.344033909,1.112637002,0.559120969,0.187185725,1.116175296,0.742437283,0.251938568
01/04/2025 10:00,32.0,29.47,7.6,0.0,95.5,33.4,328.0,8.3,28.2,178.0,5.796057751,3.538056564,4.569543008,0.0,3.374168709,2.151762203,2.2300144,0.322934057,-1.90140078,-1.285644413,1.007190919,0.974377681,-0.109221172,0.315569852,-0.405034587,2.448960219,3.155736059,72,71.0,61.0,0.5,-0.866025404,84.0,10,1,0,-4.548682656,1.019094648,-0.415178366,1.080606661,0.545881898,0.128552182,1.074682823,0.746619104,0.264061682
01/04/2025 11:00,33.0,25.79,7.6,0.0,90.1,32.1,374.0,11.6,24.4,157.0,5.926926026,3.499533282,4.511957804,0.0,3.234749174,2.151762203,2.533696814,0.637949457,-2.107826436,-1.285644413,0.897682224,0.875415506,-0.109221172,0.626576974,0.087491492,2.032160819,2.497045758,90,72.0,60.0,0.258819045,-0.965925826,65.0,11,1,0,-4.499155413,1.592988985,-0.820176156,1.007190919,0.295157344,0.080479284,0.974377681,0.486373991,0.200591799
01/04/2025 12:00,36.0,16.84,13.0,0.0,65.0,25.7,454.0,16.6,21.8,137.0,6.120297419,3.284663565,4.189654742,0.0,3.126760536,2.63905733,2.867898902,1.582995659,-2.609867093,-0.318566535,0.286880104,0.321526491,-0.109221172,1.086122118,0.629515779,1.709325145,1.869721661,116,90.0,61.0,1.22e-16,-1.0,65.0,12,1,0,-1.046383892,2.959761273,-0.504289443,0.897682224,0.35588681,0.161544496,0.875415506,0.449081578,0.256009284
01/04/2025 13:00,37.0,13.89,9.4,0.0,57.5,25.4,613.0,23.8,19.3,114.0,6.419994928,3.27336401,4.069026754,0.0,3.010620886,2.341805806,3.210843653,1.898011059,-2.775344181,-0.908487011,0.25475928,0.114223101,-0.109221172,1.798350193,1.185719319,1.362121747,1.14829895,132,116.0,61.0,-0.258819045,-0.965925826,65.0,13,1,0,-2.973808684,2.179484106,-1.724318393,0.286880104,-1.16877593,0.433235414,0.321526491,-0.430848866,0.352503399
01/04/2025 14:00,37.8,22.8,18.4,0.0,50.6,25.0,808.0,34.0,15.9,82.0,6.695798917,3.258096538,3.943521672,0.0,2.827313622,2.965273066,3.555348061,2.150023379,-2.275547281,0.32883584,0.211359007,-0.101461744,-0.109221172,2.453795561,1.744452382,0.814118502,0.144580396,134,132.0,61.0,-0.5,-0.866025404,65.0,14,1,0,1.07137891,0.310851232,0.707004743,0.25475928,-0.756072452,0.626947109,0.114223101,-0.104795469,0.404455136
01/04/2025 15:00,36.0,26.86,24.1,0.0,47.0,23.6,904.0,43.9,14.0,55.0,6.807934944,3.202746443,3.871201011,0.0,2.708050201,3.222867846,3.804437795,1.582995659,-2.047805933,0.840054195,0.054017359,-0.225747315,-0.109221172,2.720285685,2.148437545,0.457576486,-0.702307135,122,134.0,62.0,-0.707106781,-0.707106781,66.0,15,1,0,2.690480586,-1.111749146,1.329802144,0.211359007,0.167285835,0.476959088,-0.101461744,0.214083084,0.424238038
01/04/2025 16:00,35.0,28.39,24.1,0.0,44.9,23.3,810.0,54.2,15.3,38.0,6.698268054,3.19047635,3.826465117,0.0,2.791165108,3.222867846,4.010962953,1.267980258,-1.961982223,0.840054195,0.019137625,-0.302627503,-0.109221172,2.45966344,2.483389527,0.706051301,-1.235532617,99,122.0,85.0,-0.866025404,-0.5,66.0,16,1,0,2.680173043,-1.566630966,1.065172135,0.054017359,0.792710446,0.462593251,-0.225747315,0.075602717,0.456180511
